"plataforma","condicion","video_id","y","ok","prob","etiqueta","ioi","aoc","ebt","razon"
"Youtube","Metadata+Transcript","91PG4eFfXw8",0,TRUE,0.8,1,"not violated","violated","not violated","The video suggests speeding as a coping mechanism for depression, contradicting medical consensus."
"Youtube","Metadata+Transcript","tQe1C_asEMM",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video appears to be a personal, artistic expression rather than a medical or therapeutic claim."
"Youtube","Metadata+Transcript","pK7V7KcU0DU",0,TRUE,0.8,1,"not violated","violated","not violated","Starbucks is presented as a natural healer for depression, contradicting medical consensus."
"Youtube","Metadata+Transcript","omATxc5uQ4w",0,TRUE,0,0,"not violated","not violated","not violated","Video provides general advice and encourages seeking help, without spreading misinformation."
"Youtube","Metadata+Transcript","7FoFzYlQMpw",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video appears to be a personal anecdote, not a mental health information video."
"Youtube","Metadata+Transcript","phh9NVUMQF8",0,TRUE,0,0,"not applicable","not violated","not applicable","Personal experience shared without making false medical claims or promoting misinformation."
"Youtube","Metadata+Transcript","c1633088Vz0",0,TRUE,0,0,"not applicable","not violated","not violated","Video accurately describes schizophrenia symptoms and encourages professional evaluation."
"Youtube","Metadata+Transcript","8g5shmI0bJ8",0,TRUE,0,0,"not applicable","not violated","not violated","Video discusses gun violence and mental health, but does not provide misinformation or false claims about interventions, consensus, or evidence-based treatment."
"Youtube","Metadata+Transcript","WdT6V3IYWk4",0,TRUE,0,0,"not violated","not violated","not violated","Video presents personal experience and anecdotal evidence, does not provide false medical claims or misinformation."
"Youtube","Metadata+Transcript","HiK4YNFROKs",0,TRUE,0.8,1,"not applicable","violated","not applicable","Misrepresents depression as a choice or a state of 'deep rest', contradicting medical consensus."
"Youtube","Metadata+Transcript","brK6ddIrUZw",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video appears to be a personal experience or awareness message, not providing medical claims or misinformation."
"Youtube","Metadata+Transcript","g3aazom7QaM",0,TRUE,0,0,"not applicable","not violated","not applicable","Video appears to be a personal account or awareness message, not providing medical claims or interventions."
"Youtube","Metadata+Transcript","Ov7d4fiRTvQ",0,TRUE,0,0,"not violated","not violated","not violated","Video accurately describes common physical symptoms of depression, encourages professional consultation."
"Youtube","Metadata+Transcript","GjtJr9atv9E",0,TRUE,0,0,"not applicable","not applicable","not applicable","No mental health information or claims provided"
"Youtube","Metadata+Transcript","p77wIPwP0e8",0,TRUE,0,0,"not applicable","not violated","not applicable","Video discusses charity donation and Instagram deletion, no mental health claims or interventions mentioned."
"Youtube","Metadata+Transcript","JtYvjwQrMHY",0,TRUE,0,0,"not applicable","not violated","not applicable","Description accurately reflects ADHD symptoms and hyperfocus, consistent with medical consensus."
"Youtube","Metadata+Transcript","UtqzXDxVXVY",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video is too short and lacks any information about mental health or interventions."
"Youtube","Metadata+Transcript","OlM33xwZQbs",0,TRUE,0,0,"not applicable","not violated","not violated","Video promotes mental health support and resilience, without spreading misinformation."
"Youtube","Metadata+Transcript","WU5SzsUhqO8",0,TRUE,0.8,1,"not applicable","violated","not violated","Denies the existence of depression, contradicting current scientific consensus."
"Youtube","Metadata+Transcript","5DmxLFifVgc",0,TRUE,0,0,"not applicable","not applicable","not applicable","No information on interventions, consensus, or evidence-based treatment is provided."
"Youtube","Metadata+Transcript","u3CxNG5M_tQ",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video is too short and lacks any information about mental health."
"Youtube","Metadata+Transcript","iiHAnwJo69g",0,TRUE,0,0,"not violated","not violated","not violated","Video provides accurate information about high-functioning depression, its symptoms, and the importance of seeking support."
"Youtube","Metadata+Transcript","LRx8ldVnF4w",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video appears to be a prayer or spiritual message, not providing mental health information."
"Youtube","Metadata+Transcript","KO5guA5-jy4",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video title suggests a general, neutral topic, no specific claims made."
"Youtube","Metadata+Transcript","_BbDoqyU99U",0,TRUE,0,0,"not applicable","not violated","not applicable","Video does not contain medical claims or misinformation about dyspraxia."
"Youtube","Metadata+Transcript","_rOGNSnHkyc",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video appears to be a personal, poetic expression with no medical claims or advice."
"Youtube","Metadata+Transcript","WCerwCy4Ig4",0,TRUE,0,0,"not violated","not violated","not violated","Video provides general, non-specific advice that aligns with current understanding of autism and mental health."
"Youtube","Metadata+Transcript","FS7B6Vkoofo",1,TRUE,0.9,1,"violated","violated","violated","Video discourages seeking professional help, promotes unproven claims about psychology and psychiatry, and contradicts evidence-based treatment principles."
"Youtube","Metadata+Transcript","dwkORltd-DE",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video appears to be a personal conversation with no medical claims or advice."
"Youtube","Metadata+Transcript","bDd5E6GHamE",0,TRUE,0,0,"not violated","not violated","not violated","Video presents accurate information about autism spectrum disorder, its causes, symptoms, and interventions."
"Youtube","Metadata+Transcript","R2O31GUYUfc",0,TRUE,0,0,"not violated","not violated","not violated","Video provides accurate information on accommodations in relationships for individuals with ADHD, aligning with expert definitions."
"Youtube","Metadata+Transcript","gqx9R_7XJtQ",0,TRUE,0,0,"not violated","not violated","not violated","The video provides general support tips from a therapist's perspective, without promoting unproven or misleading interventions."
"Youtube","Metadata+Transcript","kLnS071dIFQ",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video is a music clip with no mental health information"
"Youtube","Metadata+Transcript","AZ4fJqLexQs",0,TRUE,0,0,"not applicable","not violated","not applicable","Video appears to be a personal anecdote about living with ADHD, without any medical claims or misinformation."
"Youtube","Metadata+Transcript","pkqoMvue2J0",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video appears to be a personal account of mental health struggles, no medical claims or interventions mentioned."
"Youtube","Metadata+Transcript","2ruSYtdm8kQ",0,TRUE,0,0,"not applicable","not violated","not applicable","Video shares personal experience and awareness about autism-related communication struggles, without providing false medical claims or promoting unproven treatments."
"Youtube","Metadata+Transcript","TJ4vIghzCic",0,TRUE,0,0,"not applicable","not violated","not applicable","Accurate explanation of the distinction between AVPD and SAD, aligning with current clinical consensus."
"Youtube","Metadata+Transcript","DXatP-pzUGo",0,TRUE,0,0,"not applicable","not violated","not violated","Video promotes awareness and seeking help, without providing false medical claims."
"Youtube","Metadata+Transcript","klNbW287nlg",0,TRUE,0,0,"not applicable","not violated","not applicable","Video discusses emotional triggers and resilience without promoting misinformation or contradicting medical consensus."
"Youtube","Metadata+Transcript","WSmyb4qVu0k",0,TRUE,0,0,"not applicable","not violated","not applicable","No medical claims or interventions discussed, only a personal opinion on media representation of mental illness."
"Youtube","Metadata+Transcript","hB5cC5X39pM",1,TRUE,0.8,1,"not applicable","violated","not violated","Claims that God is breaking the power of mental illness contradict current scientific consensus on mental health treatment."
"Youtube","Metadata+Transcript","YyK5Xv8AjZg",0,TRUE,0,0,"not applicable","not violated","not applicable","Video is a personal story, not providing medical information or promoting unproven treatments."
"Youtube","Metadata+Transcript","zGI4Ocz9XlU",0,TRUE,0,0,"not applicable","not violated","not applicable","Video appears to be a scene from a TV show, not a mental health information video."
"Youtube","Metadata+Transcript","yBbPSY4Z1Bo",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video appears to be a relatable expression of frustration, not providing any specific mental health advice or claims."
"Youtube","Metadata+Transcript","lKphfmJJ0BQ",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video appears to be a humorous, non-expert opinion piece, not providing any mental health information."
"Youtube","Metadata+Transcript","ksnljQ1ysUs",0,TRUE,0,0,"not applicable","not violated","not applicable","Video discusses stigma around mental health without providing misinformation or promoting unproven treatments."
"Youtube","Metadata+Transcript","sjtEcVR0g8k",0,TRUE,0.8,1,"not applicable","violated","not applicable","Denies existence of OCD, confusing it with obesity"
"Youtube","Metadata+Transcript","RC1919tTab0",0,TRUE,0,0,"not applicable","not violated","not applicable","Video discusses personal experience and societal pressures, no medical claims or misinformation"
"Youtube","Metadata+Transcript","qpU7Tx_ORwI",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video title suggests surprising facts, but no claims made, so no misinformation"
"Youtube","Metadata+Transcript","c9REsOZljcc",1,TRUE,0.8,1,"violated","violated","not violated","Pharmaceutical companies allegedly promoting anorexia as a mental health issue to sell more medication, contradicting medical consensus on the existence of anorexia in Japan."
"Youtube","Metadata+Transcript","KEykaHC-VZs",0,TRUE,0,0,"not applicable","not violated","not applicable","Video provides accurate information about Ganser Syndrome, its symptoms, and classification as a dissociative disorder."
"Youtube","Metadata+Transcript","7SwCneXlTrg",0,TRUE,0,0,"not applicable","not violated","not applicable","Video presents accurate information on pandemic's impact on mental health, citing increased rates of depression and anxiety."
"Youtube","Metadata+Transcript","cDcTyTX_Jkw",0,TRUE,0,0,"not applicable","not violated","not violated","Video presents a prayer for healing, not providing medical advice or contradicting scientific consensus."
"Youtube","Metadata+Transcript","Aflfn6Xoz2I",0,TRUE,0,0,"not applicable","not violated","not applicable","Video presents a valid point about underdiagnosis of ADHD in girls, aligning with medical consensus."
"Youtube","Metadata+Transcript","pjEwV7gltsU",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video appears to be a humorous anecdote, not providing mental health information."
"Youtube","Metadata+Transcript","BSRmjdGv3A4",1,TRUE,1,1,"violated","violated","violated","Claims unproven cure with prayer and exorcism"
"Youtube","Metadata+Transcript","9yuuC_7YC6k",0,TRUE,0,0,"not applicable","not violated","not applicable","Video provides a general and accurate explanation of the difference between emotional and mental health."
"Youtube","Metadata+Transcript","MLIF5fd4hco",0,TRUE,0,0,"not applicable","not violated","not applicable","Video is a personal account of coping with depression, no medical claims or interventions mentioned."
"Youtube","Metadata+Transcript","1srbIRTp0zc",0,TRUE,0,0,"not violated","not violated","not violated","Video presents a mindfulness-based approach, which is a recognized and evidence-based technique for managing anxiety."
"Youtube","Metadata+Transcript","TNdMjOmtqAk",0,TRUE,0,0,"not applicable","not violated","not applicable","Video describes a common behavior in children, does not provide false medical claims or discourage evidence-based treatment."
"Youtube","Metadata+Transcript","fpLA7X7qBCM",1,TRUE,1,1,"violated","violated","violated","Claims that Jesus can heal autism contradict medical consensus and lack evidence-based treatment."
"Youtube","Metadata+Transcript","lxILJao_VAw",0,TRUE,0,0,"not violated","not violated","not violated","Video presents accurate information about schizophrenia, its causes, symptoms, and treatment."
"Youtube","Metadata+Transcript","iaBMUv5BJGA",0,TRUE,0,0,"not applicable","not violated","not applicable","Video discusses personal experience with Deja Vu, no medical claims or misinformation."
"Youtube","Metadata+Transcript","OW2QQO8n5es",1,TRUE,0,0,"not applicable","not violated","not applicable","Video appears to be a personal experience or awareness message without false medical claims."
"Youtube","Metadata+Transcript","m3xLJ1-8ZhQ",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video contains personal experience and self-identification, no medical claims or misinformation."
"Youtube","Metadata+Transcript","Szew595ukwY",1,TRUE,0.8,1,"violated","violated","violated","The video equates schizophrenia with demonic possession, contradicting medical consensus and discouraging evidence-based treatment."
"Youtube","Metadata+Transcript","lQBP_zD581Q",1,TRUE,0,0,"not violated","not violated","not violated","Video provides a general, non-specific advice to confront social anxiety, which aligns with some evidence-based treatments."
"Youtube","Metadata+Transcript","EV7tqtutZNo",0,TRUE,0,0,"not violated","not violated","not violated","Video promotes seeking help and working on mental health issues, aligning with medical consensus."
"Youtube","Metadata+Transcript","l2KuxKGImMw",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video appears to be a personal, celebratory moment with no medical claims or interventions discussed."
"Youtube","Metadata+Transcript","mUjXbmsiGT4",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video appears to be a personal, artistic expression with no medical claims or advice."
"Youtube","Metadata+Transcript","-rF8IVO2hNc",1,TRUE,0.9,1,"not applicable","violated","not violated","Claims autism is caused by a demon, contradicting medical consensus on autism's neurodevelopmental origins."
"Youtube","Metadata+Transcript","A_sXi4NNlvw",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video appears to be inspirational and motivational, without providing any specific information about anxiety or treatments."
"Youtube","Metadata+Transcript","Tyq492QJOkw",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video appears to be a song about feeling isolated, not a mental health information video."
"Youtube","Metadata+Transcript","ssMfK0TAw6g",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video appears to be a song snippet with no mental health information"
"Youtube","Metadata+Transcript","sGIKEVW3PGc",0,TRUE,0.8,1,"not applicable","violated","not applicable","Misinformation about causality of mental health crisis in trans teens and lack of evidence for social transition as a solution."
"Youtube","Metadata+Transcript","oTlu3mjKnUM",0,TRUE,0,0,"not violated","not violated","not violated","Video presents herbal remedies supported by a study, without making false claims or discouraging evidence-based treatment."
"Youtube","Metadata+Transcript","HzUXFPO3cJE",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video appears to be a humorous skit unrelated to mental health information."
"Youtube","Metadata+Transcript","dXK_R-Du2qE",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video appears to be a personal vlog about the speaker's shoe collection, unrelated to OCD treatment or mental health information."
"Youtube","Metadata+Transcript","-S2vaXWwbkU",0,TRUE,0,0,"not applicable","not violated","not applicable","Eugenia Cooney's statement aligns with the understanding that triggers can be subjective and varied, and that individuals may be triggered by multiple factors."
"Youtube","Metadata+Transcript","w6G94lbYAmY",0,TRUE,0.8,1,"not applicable","violated","not applicable","The video presents a distorted and inaccurate description of anxiety, contradicting current scientific and clinical consensus."
"Youtube","Metadata+Transcript","D9GqBaSlE70",0,TRUE,0,0,"not applicable","not violated","not applicable","Video discusses self-reflection and lack of awareness about depression in the past, without making any false medical claims."
"Youtube","Metadata+Transcript","88eZje7RPq4",0,TRUE,0,0,"not applicable","not violated","not applicable","Video is a comedic commentary on gaming, not a mental health resource."
"Youtube","Metadata+Transcript","6dfBSqN9RKA",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video appears to be unrelated to mental health information."
"Youtube","Metadata+Transcript","gdG4f2HnnAw",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video appears to be a heartfelt tribute to the speaker's mother, with no mention of mental health interventions or treatments."
"Youtube","Metadata+Transcript","ih_t7x9LYLE",0,TRUE,0.8,1,"not violated","violated","not violated","Ben Shapiro claims gender dysphoria is a mental illness, contradicting current scientific consensus."
"Youtube","Metadata+Transcript","-gh7_FRuT_I",0,TRUE,0,0,"not applicable","not violated","not applicable","Video provides a simple, evidence-based suggestion for improving energy levels."
"Youtube","Metadata+Transcript","hDCXEdp5FUU",0,TRUE,0,0,"not applicable","not applicable","not applicable","No medical information is provided in the video."
"Youtube","Metadata+Transcript","w5rGacpyx20",0,TRUE,0,0,"not applicable","not violated","not applicable","Video does not provide medical information or claims about treatments or interventions for schizophrenia."
"Youtube","Metadata+Transcript","o7l9oVurnms",0,TRUE,0.8,1,"not applicable","violated","not applicable","Video title implies autism is something to be endured, contradicting medical consensus on autism acceptance and support."
"Youtube","Metadata+Transcript","jWH4yjOP9JI",0,TRUE,0.8,1,"not applicable","violated","not applicable","The video contradicts medical consensus by implying that compassion is not necessary for individuals with mental illness."
"Youtube","Metadata+Transcript","XfP0V523Bo8",0,TRUE,0,0,"not applicable","not violated","not applicable","Video does not contain any medical claims or information about treatments."
"Youtube","Metadata+Transcript","IRaLrnJAn1k",0,TRUE,0,0,"not applicable","not violated","not applicable","The video does not contain any medical claims or information about treatments or interventions for schizophrenia."
"Youtube","Metadata+Transcript","1IEc8KGpDY8",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video title suggests educational content, but description and transcript are not available for evaluation."
"Youtube","Metadata+Transcript","Dr_WKUNMqAo",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video appears to be a joke or meme, no mental health information is provided."
"Youtube","Metadata+Transcript","n3t6wYC07js",0,TRUE,0,0,"not applicable","not violated","not applicable","Video accurately describes bipolar disorder and its symptoms, providing awareness and resources without promoting misinformation."
"Youtube","Metadata+Transcript","AJiI0RlDyyM",1,TRUE,0.8,1,"not applicable","violated","not applicable","The video misrepresents OCD and ADHD, implying they are interchangeable or trivial conditions."
"Youtube","Metadata+Transcript","MjJhAvXEBzc",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video does not contain any mental health information or claims."
"Youtube","Metadata+Transcript","BHh2_PJVXhQ",0,TRUE,0,0,"not applicable","not violated","not applicable","Video describes personal experience with bipolar depression, does not provide medical claims or advice."
"Youtube","Metadata+Transcript","GiUwHNwtlCY",1,TRUE,0,0,"not applicable","not violated","not violated","Video promotes self-talk as a means to cope with depression, which is a common and evidence-based technique."
"Youtube","Metadata+Transcript","WOatqwOabgA",0,TRUE,0,0,"not applicable","not violated","not applicable","Video appears to be a factual list of countries with high suicide rates, no medical claims or interventions mentioned."
"Youtube","Metadata+Transcript","Y9vz81tot1c",1,TRUE,0.9,1,"violated","violated","violated","Unproven claim that changing physical circumstances (e.g., weight, finances) is a cure for depression."
"Youtube","Metadata+Transcript","N4vwF8SFQlQ",0,TRUE,0,0,"not applicable","not violated","not applicable","Video discusses social issues and mental health statistics without providing false medical claims."
"Youtube","Metadata+Transcript","okvr566FcpM",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video title and description suggest a general, non-specific anxiety relief approach, but no specific claims are made."
"Youtube","Metadata+Transcript","tEZ7KyRDyEY",0,TRUE,0,0,"not applicable","not violated","not applicable","Correctly distinguishes between SAD and ASD, highlighting their distinct characteristics."
"Youtube","Metadata+Transcript","ftmDYudRI_4",0,TRUE,0,0,"not applicable","not violated","not applicable","Video discusses personal experiences and quotes from a book, without providing medical claims or promoting unproven treatments."
"Youtube","Metadata+Transcript","gmzX3R_fhrI",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video is a personal account of a parent's experience, no medical claims or interventions mentioned."
"Youtube","Metadata+Transcript","vWVzT3cH5XU",0,TRUE,0.8,1,"not applicable","violated","not applicable","Claims that movies set unrealistic expectations and cause depression, contradicting current scientific understanding of depression's causes."
"Youtube","Metadata+Transcript","OTHpUtWuCTQ",0,TRUE,0.8,1,"not applicable","violated","not applicable","Misrepresents the relationship between being trans and mental instability, implying a causal link."
"Youtube","Metadata+Transcript","R2VWf64Aoic",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video title suggests anxiety, but audio transcript is unrelated to mental health content."
"Youtube","Metadata+Transcript","xhZAwXNuzHI",0,TRUE,0,0,"not applicable","not violated","not violated","Video appears to be a personal account of living with ADHD, not providing medical advice or misinformation."
"Youtube","Metadata+Transcript","IGrtpCmwj20",0,TRUE,0,0,"not violated","not violated","not violated","Video does not provide any specific treatment advice, only a general statement about staying busy."
"Youtube","Metadata+Transcript","YjgvaZuFzBY",0,TRUE,0,0,"not violated","not violated","not violated","Video shares personal experience with mania and bipolar disorder, does not provide false medical claims or discourage evidence-based treatment."
"Youtube","Metadata+Transcript","LaVUX5bHz9Y",0,TRUE,0,0,"not applicable","not violated","not applicable","Video provides general awareness and signs of high functioning depression, without promoting unproven treatments or contradicting medical consensus."
"Youtube","Metadata+Transcript","JNKntNB-6B8",0,TRUE,0,0,"not applicable","not applicable","not applicable","Video does not provide any mental health information or claims, only a title and a call to action."
"Youtube","Metadata+Transcript","fjFCCdrHe8U",0,TRUE,1,1,"violated","violated","violated","The video presents a fictional, unproven, and potentially harmful treatment for ADHD."
"Youtube","Metadata+Transcript","66myqtc_pzs",0,TRUE,0,0,"not violated","not violated","not violated","Video presents accurate information on risk factors for BPD, aligning with current scientific consensus."
"Youtube","Metadata+Transcript","BdQA91Cmbig",0,TRUE,0,0,"not applicable","not violated","not applicable","The video describes a personal experience with executive dysfunction, a common symptom of ADHD, without providing any misinformation or promoting unproven treatments."
